project_name,project_type,sector,technology_theme,geography_code,location_name,developer_name,investor_name,announcement_date,expected_completion_date,project_status,delivery_risk_rating,delivery_risk_category,delivery_risk_notes,regional_linkage_type,regional_linkage_strength,capital_investment_gbp,regional_capital_investment_gbp,capital_value_status,regional_economic_impact_gbp,construction_jobs,operational_jobs,jobs_supported,regional_jobs_announced,capacity_value,capacity_unit,source_name,source_url,retrieved_at,notes
SeAH Wind Teesworks Monopile Manufacturing Facility,Offshore wind manufacturing facility,Advanced Manufacturing,Offshore wind supply chain,TLC3,"South Bank, Teesworks, Redcar and Cleveland",SeAH Wind Ltd,SeAH Steel Holdings Corporation,2024-10-11,,Operational,low,Operational / delivered,Facility is operational.,MANUFACTURING_SITE,direct,900000000.0,900000000.0,committed,,,750.0,,750.0,200.0,monopiles_per_year,UK Government and Tees Valley Combined Authority,https://www.gov.uk/government/news/uk-government-seals-further-225-million-investment-in-teesside-renewables-industry-with-financing-deal,2026-06-17,Directly located in Tees Valley. Reported capital investment of £900m and 750 direct jobs. Annual production capacity reported as up to 200 monopiles.
JDR Cable Systems Cambois Subsea Cable Facility,Subsea cable manufacturing facility,Advanced Manufacturing,Offshore wind supply chain,E12000001,"Cambois, Northumberland",JDR Cable Systems,TFKable Group,2022-11-08,2025-12-31,Under construction,medium,Construction / completion risk,Project remains under construction and completion should be reconfirmed.,MANUFACTURING_SITE,direct,130000000.0,130000000.0,committed,,,171.0,,171.0,,,JDR Cable Systems and North East Combined Authority,https://www.northeast-ca.gov.uk/downloads/6879/10-year-vision-and-strategy-for-north-east-england-offshore-wind.pdf,2026-06-17,Direct North East investment in a high-voltage subsea cable manufacturing plant. Reported to create 171 direct jobs. Completion and operating status should be updated when formally confirmed.
AESC Sunderland Gigafactory,Electric vehicle battery gigafactory,Advanced Manufacturing,EV batteries,E12000001,"International Advanced Manufacturing Park, Sunderland",AESC UK,AESC Group,2025-05-09,,Operational,low,Operational / delivered,Facility is operational.,MANUFACTURING_SITE,direct,1000000000.0,1000000000.0,committed,,,1000.0,,1000.0,15.8,GWh annual capacity,UK Government,https://www.gov.uk/government/news/another-boost-for-british-car-industry-as-1-billion-secured-for-new-sunderland-gigafactory,2026-06-17,"Direct Sunderland investment. Reported capital investment of £1bn and 1,000 jobs, with stated annual production capacity of 15.8 GWh."
Net Zero Teesside Power,Gas-fired power station with carbon capture,Clean Energy,Carbon capture,TLC3,"Teesworks, Redcar and Cleveland",Net Zero Teesside Power Ltd,bp; Equinor; TotalEnergies,2024-12-10,2028-12-31,Under construction,low,Financed / under construction,Reached financial close and construction is underway.,PROJECT_LOCATION,direct,,,,,3000.0,,1000.0,4000.0,742.0,MW,UK Government and bp,https://www.gov.uk/government/news/contracts-signed-for-uks-first-carbon-capture-projects-in-teesside,2026-06-18,"Reached financial close in December 2024. Construction began from 2025 with operations targeted from 2028. Reported figures include more than 3,000 construction jobs and around 1,000 jobs supported during operations. The 4,000 figure is retained as the overall announced regional jobs headline and must not be added to the component categories. The approximately £4bn construction-contract figure covers NZT Power and the Northern Endurance Partnership jointly, so it is not recorded as standalone project capital investment."
Port of Blyth Battleship Wharf Expansion,Port infrastructure expansion,Infrastructure,Port infrastructure,E12000001,"Battleship Wharf, Port of Blyth, Northumberland",Port of Blyth,Port of Blyth; Northumberland County Council; North East Combined Authority; The Crown Estate,2026-05-07,,Announced,medium,Announced infrastructure project,Investment is announced but construction and delivery remain pending.,PORT_INFRASTRUCTURE,direct,100000000.0,100000000.0,committed,,,,,,,,Port of Blyth,https://portofblyth.co.uk/port-of-blyth-announces-major-100m-expansion-to-power-clean-energy-growth/,2026-06-18,"Direct regional port infrastructure investment of up to £100m. Planned works include approximately three hectares of reclaimed land, up to 260m of quay extensions, channel and berth deepening, and heavy-duty handling equipment. The source refers to hundreds of potential jobs but does not state a precise verified figure, so jobs fields remain blank."
Tyne Clean Energy Park,Port-based clean energy development park,Infrastructure,Port infrastructure,E12000001,"Port of Tyne, South Shields",Port of Tyne,Port of Tyne,2025-09-15,,Announced,medium,Announced development platform,Delivery depends on infrastructure build-out and future tenant demand.,PORT_INFRASTRUCTURE,direct,150000000.0,150000000.0,committed,,,,12000.0,12000.0,,,Port of Tyne,https://www.portoftyne.co.uk/news-and-media/news/port-of-tyne-unveils-230-acre-green-development-terminal,2026-06-18,"Direct £150m regional investment in a 230-acre clean-energy development terminal. The source describes capacity to support offshore wind and other clean-energy projects. Up to 12,000 jobs is a wider jobs-supported ambition associated with the development and must not be interpreted as direct operational employment."
H2NorthEast,Blue hydrogen production facility,Clean Energy,Hydrogen,TLC3,"Seal Sands, Teesside",Kellas Midstream,Kellas Midstream; project partners,2023-03-01,,Planning,high,Pre-application / financing risk,Potential investment remains at planning stage and is not committed.,PROJECT_LOCATION,direct,2000000000.0,2000000000.0,potential,200000000.0,,100.0,,100.0,1065.0,MW thermal,H2NorthEast and Johnson Matthey,https://h2northeast.com/,2026-06-19,"Direct Teesside hydrogen project at pre-application stage. The £2bn figure is potential investment rather than committed capital. Project sources describe more than 100 new operational jobs and an estimated £200m–£300m contribution to the local economy; this row records £200m as a conservative lower-bound economic impact estimate. Capacity reflects planned expansion to approximately 1,065 MW thermal."
Sofia Offshore Wind Farm,Offshore wind farm,Clean Energy,Offshore wind,TLC3,"Dogger Bank, North Sea; landfall and converter station in Redcar, Teesside",RWE,RWE,2021-03-24,2026-12-31,Under construction,low,Financed / nearing completion,"FID achieved; onshore and offshore construction are substantially advanced, with full operation targeted for 2026.",GRID_CONNECTION,significant,3000000000,,committed,62200000,,,,,1400,MW,RWE and Sofia Offshore Wind Farm,https://sofiawindfarm.com/latest/announcements/sofia-publishes-independent-report-into-socioeconomic-impact/,2026-06-20,"Approximately £3bn total project investment. The full project value is not attributed to the North East because major offshore and supply-chain expenditure occurs elsewhere. Independent research attributes £62.2m GVA and 490 FTE person-years to the North East. The 490 FTE person-years are retained in notes and are not treated as permanent operational jobs."
Tees Valley Energy Recovery Facility,Energy-from-waste facility,Clean Energy,Energy recovery,TLC3,"Grangetown Prairie, Teesworks, Redcar",Viridor,"Viridor; Tees Valley Energy Recovery Limited",2026-04-23,2030-12-31,Under construction,low,Financed / construction commencing,"Financial close reached and the EPC contractor has received notice to proceed.",PROJECT_LOCATION,direct,,,,,700,50,,750,450000,tonnes_per_year,Viridor and Tees Valley Energy Recovery Facility,https://www.tverf.co.uk/about-the-project/,2026-06-20,"Financial close was reached in April 2026. The reported £2bn figure is the value of the 29-year waste-treatment contracts and is not recorded as capital expenditure. Construction employment is expected to peak at approximately 700 workers, with up to 50 permanent operational positions. The 750-job headline combines temporary and permanent roles occurring at different stages and must not be interpreted as simultaneous employment."
Tees Green Hydrogen,Green hydrogen production facility,Clean Energy,Hydrogen,TLC3,"Teesworks, Redcar and Cleveland","EDF Renewables UK; Hynamics","EDF Renewables UK; Hynamics",2023-12-14,,Planning,medium,Government-supported development,"Phase one has signed a Low Carbon Hydrogen Agreement but remains planned rather than operational.",PROJECT_LOCATION,direct,,,potential,,,,,,5.2,MW,UK Government and EDF Renewables UK,https://www.gov.uk/government/news/jobs-unlocked-as-first-wave-of-hydrogen-projects-sign-contracts,2026-06-20,"Phase one was selected under Hydrogen Allocation Round 1 and signed its Low Carbon Hydrogen Agreement in July 2025. The contracted initial capacity is 5.2 MW. No sufficiently reliable standalone capital or employment figure is currently recorded."
Dogger Bank Operations and Maintenance Base,Offshore wind operations and maintenance base,Infrastructure,Port infrastructure,E12000001,"Port of Tyne, South Shields","Dogger Bank Wind Farm; Equinor","SSE Renewables; Equinor; Vårgrønn",2020-05-13,2023-03-15,Operational,low,Operational / delivered,"The base was completed and officially opened in 2023 and now supports long-term wind-farm operations.",OPERATIONS_BASE,direct,,,,,,200,,200,,,Dogger Bank Wind Farm,https://doggerbank.com/operations/dogger-bank-wind-farm-officially-celebrates-its-operations-and-maintenance-base-opening/,2026-06-20,"Direct North East operations base at the Port of Tyne. Official project announcements describe more than 200 direct regional jobs. The completed facility contains office, training and welfare infrastructure for around 400 employees who may be based at the facility or offshore; 400 is not recorded as direct operational employment to avoid overstating the verified jobs figure."
ORE Catapult Blyth Turbine Testing Expansion,Offshore wind research and testing facility,Infrastructure,Offshore wind research and testing,E12000001,"National Renewable Energy Centre, Blyth, Northumberland",Offshore Renewable Energy Catapult,UK Research and Innovation,2024-05-14,2028-12-31,Under construction,low,Funded / under development,"UKRI capital funding has been awarded and the new blade hall and drivetrain upgrade are targeted for commissioning by 2028.",RESEARCH_INFRASTRUCTURE,direct,85600000,85600000,committed,,,30,,30,23,MW drivetrain test capacity,UKRI and ORE Catapult,https://www.ukri.org/news/86m-investment-to-accelerate-uk-development-of-super-turbines/,2026-06-20,"£85.6m capital investment to expand ORE Catapult's Blyth testing facilities. The project includes blade testing up to 150 metres and drivetrain testing up to 23 MW, with future scalability to 180 metres and 28 MW. Official sources report 30 new skilled jobs and support for five PhD researchers per year. PhD positions are not added to the direct operational-jobs total."
